"codigo_categoria","categoria","codigo_producto","producto","precio","activo"
"CEVICHES","Ceviches","CEVICHE_CLASICO","Ceviche clásico","30","true"
"CEVICHES","Ceviches","CEVICHE_MIXTO","Ceviche mixto","38","true"
"CHICHARRONES","Chicharrones.","CHICHARRON_PESCADO","Chicharrón de pescado","28","true"
"CHICHARRONES","Chicharrones.","CHICHARRON_MIXTO","Chicharrón mixto","35","true"
"ARROCES","Arroces","ARROZ_MARISCOS","Arroz con mariscos","34","true"
"ARROCES","Arroces","CHAUFA_MARISCOS","Chaufa de mariscos","32","true"
"COMBOS","Combos","COMBO_CEVICHE_CHICHARRON","Combo ceviche y chicharrón","42","true"
"COMBOS","Combos","COMBO_FAMILIAR","Combo familiar","75","true"
"BEBIDAS","Bebidas","CHICHA_MORADA","Chicha morada","8","true"
"BEBIDAS","Bebidas","GASEOSA_PERSONAL","Gaseosa personal","5","true"
